,CSF,WM,GM
371.0,0.9961450146152047,0.0023979294655062976,0.001457055919288935
372.0,0.9940849823198338,0.003920568706963365,0.0019944489732029104
373.0,0.9962137417628817,0.0019136797350917231,0.0018725785020265312
374.0,0.9946100373236967,0.003420786165828549,0.0019691765104748417
375.0,0.9957783573382577,0.002640637016604932,0.0015810056451373475
376.0,0.9951868854866645,0.002894462261517614,0.0019186522518177657
377.0,0.995658675525906,0.002649864733782634,0.0016914597403112615
378.0,0.995032448593017,0.002564346098629034,0.0024032053083538627
379.0,0.9961537670437017,0.002207415705146555,0.0016388172511516968
380.0,0.9960290820336062,0.002129620368083726,0.001841297598310066
381.0,0.9956638637150447,0.002174259316288682,0.0021618769686665936
382.0,0.9957117035339468,0.002401567813815935,0.0018867286522373167
383.0,0.9947864098456594,0.002860094912831937,0.0023534952415086158
384.0,0.995768610830239,0.0026141007555250035,0.0016172884142358955
385.0,0.9952210957217663,0.0025953475160445613,0.002183556762189039
386.0,0.9954603801357926,0.0022149411924844717,0.0023246786717228706
387.0,0.9950187096615031,0.0023476940429256773,0.002633596295571268
